Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,org:resource,elementId,variant,variant-index,creator,processId,resourceCost,resourceId
60,START,,2023-12-26 10:01:00.000,2023-12-26 10:01:00.000,Variant 2,2,START,complete,,sid-480F66C4-383B-48E5-AD51-2B5B4BC0BC8A,Variant 2,2,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,,
60,END,,2023-12-26 10:01:00.000,2023-12-26 10:01:00.000,Variant 2,2,END,complete,,sid-0464ADA1-C752-4565-B399-80998038E50D,Variant 2,2,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,,
61,START,,2023-12-26 10:01:01.000,2023-12-26 10:01:01.000,Variant 3,3,START,complete,,sid-480F66C4-383B-48E5-AD51-2B5B4BC0BC8A,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,,
61,DATA ANALYST CONFIGURES INGESTION SYSTEM,USER-000003,2023-12-26 10:01:01.000,2023-12-26 10:01:02.000,Variant 3,3,DATA ANALYST CONFIGURES INGESTION SYSTEM,complete,USER-000003,sid-176379D8-FF77-4836-9F22-8D918C86867E,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,MACHINE LEARNING ENGINEER CONFIGURES PREPARATION SYSTEM,USER-000007,2023-12-26 10:01:02.000,2023-12-26 10:01:03.000,Variant 3,3,MACHINE LEARNING ENGINEER CONFIGURES PREPARATION SYSTEM,complete,USER-000007,sid-B26B9984-E8C8-4F42-AC04-969DFC4538CF,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,DATA ANALYST CONFIGURES SEGREGATION SYSTEM,USER-000001,2023-12-26 10:01:03.000,2023-12-26 10:01:04.000,Variant 3,3,DATA ANALYST CONFIGURES SEGREGATION SYSTEM,complete,USER-000001,sid-8B75C472-1588-490D-812B-F57487C5F50A,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,MACHINE LEARNING ENGINEER CONFIGURES DEVELOPMENT SYSTEM,USER-000006,2023-12-26 10:01:04.000,2023-12-26 10:01:05.000,Variant 3,3,MACHINE LEARNING ENGINEER CONFIGURES DEVELOPMENT SYSTEM,complete,USER-000006,sid-42471258-E0A9-4EE3-B512-D506BC38D3C2,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,DATA ANALYST CONFIGURES PRODUCTION SYSTEM,USER-000010,2023-12-26 10:01:05.000,2023-12-26 10:01:06.000,Variant 3,3,DATA ANALYST CONFIGURES PRODUCTION SYSTEM,complete,USER-000010,sid-A6B1955C-AE69-405F-A033-E6681BA131BB,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,DATA ANALYST CONFIGURES EVALUATION SYSTEM,USER-000005,2023-12-26 10:01:06.000,2023-12-26 10:01:07.000,Variant 3,3,DATA ANALYST CONFIGURES EVALUATION SYSTEM,complete,USER-000005,sid-46BA577C-694E-4FE3-B29B-A685A5DF6CFC,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,AUTOMOBILE DAMAGE APPRAISER LABELS RECORDS,USER-000010,2023-12-26 10:01:07.000,2023-12-26 10:01:08.000,Variant 3,3,AUTOMOBILE DAMAGE APPRAISER LABELS RECORDS,complete,USER-000010,sid-5CC08560-1772-4030-93D7-2431FA07D5DB,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
61,END,,2023-12-26 10:01:08.000,2023-12-26 10:01:08.000,Variant 3,3,END,complete,,sid-0464ADA1-C752-4565-B399-80998038E50D,Variant 3,3,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,,
62,START,,2023-12-26 10:01:02.000,2023-12-26 10:01:02.000,Variant 6,6,START,complete,,sid-480F66C4-383B-48E5-AD51-2B5B4BC0BC8A,Variant 6,6,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,,
62,AUTOMOBILE DAMAGE APPRAISER LABELS RECORDS,USER-000006,2023-12-26 10:01:02.000,2023-12-26 10:01:03.000,Variant 6,6,AUTOMOBILE DAMAGE APPRAISER LABELS RECORDS,complete,USER-000006,sid-5CC08560-1772-4030-93D7-2431FA07D5DB,Variant 6,6,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
62,DATA ANALYST CHECKS DATA BALANCING,USER-000010,2023-12-26 10:01:03.000,2023-12-26 10:01:04.000,Variant 6,6,DATA ANALYST CHECKS DATA BALANCING,complete,USER-000010,sid-4B0C134E-464A-40B5-B6A6-2E492ABDE178,Variant 6,6,Fluxicon Disco,sid-409bb320-0703-4c4e-931e-fbe0b1583949,1.0,QBP_DEFAULT_RESOURCE
